"","season","mean.word","mean.length"
"1",1,941.461538461538,36.8320057648307
"2",2,993.333333333333,39.0406423984603
"3",3,1010.04347826087,39.8750869283532
"4",4,1017.13636363636,41.8127064775685
"5",5,1059.42857142857,43.1838157176777
"6",6,1065.57894736842,42.9181620218414
"7",7,1061.90909090909,42.4339055291946
"8",8,1114.6,42.3651930498876
"9",9,1095.13636363636,42.1097291940988
"10",10,1092.36363636364,41.7616402440199
"11",11,1090.68181818182,42.7910821435824
"12",12,1102.04545454545,42.6378680279781
"13",13,1079.90909090909,24.1523580718057
"14",14,1056.07692307692,23.1873167354315
