"","Avg mph","site","Time Period Ending"
"213",31,30361338,06:29:00
"214",32,30361338,06:44:00
"215",30,30361338,06:59:00
"216",32,30361338,07:14:00
"217",30,30361338,07:29:00
"218",30,30361338,07:44:00
"219",30,30361338,07:59:00
"220",28,30361338,08:14:00
"221",30,30361338,08:29:00
"222",29,30361338,08:44:00
"223",29,30361338,08:59:00
"224",29,30361338,09:14:00
"225",27,30361338,09:29:00
"226",28,30361338,09:44:00
"227",28,30361338,09:59:00
"228",27,30361338,10:14:00
"229",22,30361338,10:29:00
"230",25,30361338,10:44:00
"231",27,30361338,10:59:00
"232",26,30361338,11:14:00
"233",26,30361338,11:29:00
"234",24,30361338,11:44:00
"235",20,30361338,11:59:00
"236",29,30361338,12:14:00
"237",27,30361338,12:29:00
"238",27,30361338,12:44:00
"239",27,30361338,12:59:00
"240",27,30361338,13:14:00
"241",22,30361338,13:29:00
"242",29,30361338,13:44:00
"243",26,30361338,13:59:00
"244",19,30361338,14:14:00
"245",27,30361338,14:29:00
"246",27,30361338,14:44:00
"247",28,30361338,14:59:00
"248",27,30361338,15:14:00
"249",29,30361338,15:29:00
"250",28,30361338,15:44:00
"251",27,30361338,15:59:00
"252",29,30361338,16:14:00
"253",27,30361338,16:29:00
"254",30,30361338,16:44:00
"255",29,30361338,16:59:00
"256",28,30361338,17:14:00
"257",29,30361338,17:29:00
"258",29,30361338,17:44:00
"259",28,30361338,17:59:00
"260",31,30361338,18:14:00
"261",30,30361338,18:29:00
"262",31,30361338,18:44:00
"263",29,30361338,18:59:00
"264",30,30361338,19:14:00
"265",29,30361338,19:29:00
"266",29,30361338,19:44:00
"267",31,30361338,19:59:00
"268",32,30361338,20:14:00
"269",28,30361338,20:29:00
"270",31,30361338,20:44:00
"271",34,30361338,20:59:00
"272",30,30361338,21:14:00
"273",33,30361338,21:29:00
"274",31,30361338,21:44:00
"275",34,30361338,21:59:00
"276",29,30361338,22:14:00
"277",34,30361338,22:29:00
"278",31,30361338,22:44:00
"279",32,30361338,22:59:00
"280",32,30361338,23:14:00
"281",30,30361338,23:29:00
"282",37,30361338,23:44:00
"283",39,30361338,23:59:00
"284",38,30361338,00:14:00
"285",37,30361338,00:29:00
"286",33,30361338,00:44:00
"287",39,30361338,00:59:00
"288",37,30361338,01:14:00
"289",24,30361338,01:29:00
"290",32,30361338,01:44:00
"291",36,30361338,02:14:00
"292",39,30361338,02:29:00
"293",33,30361338,02:44:00
"294",32,30361338,02:59:00
"295",32,30361338,03:14:00
"296",47,30361338,03:29:00
"297",45,30361338,03:44:00
"298",37,30361338,03:59:00
"299",35,30361338,04:14:00
"300",33,30361338,04:29:00
"301",35,30361338,04:44:00
"302",32,30361338,04:59:00
"303",32,30361338,05:14:00
"304",33,30361338,05:29:00
"305",31,30361338,05:44:00
"306",31,30361338,05:59:00
"307",32,30361338,06:14:00
"308",30,30361338,06:29:00
"309",30,30361338,06:44:00
"310",29,30361338,06:59:00
"311",29,30361338,07:14:00
"312",28,30361338,07:29:00
"313",26,30361338,07:44:00
"314",21,30361338,07:59:00
"315",26,30361338,08:14:00
"316",28,30361338,08:29:00
"317",15,30361338,08:44:00
"318",26,30361338,08:59:00
"319",29,30361338,09:14:00
"320",27,30361338,09:29:00
"321",25,30361338,09:44:00
"322",28,30361338,09:59:00
"323",28,30361338,10:14:00
"324",28,30361338,10:29:00
"325",26,30361338,10:44:00
"326",26,30361338,10:59:00
"327",28,30361338,11:14:00
"328",28,30361338,11:29:00
"329",28,30361338,11:44:00
"330",27,30361338,11:59:00
"331",27,30361338,12:14:00
"332",28,30361338,12:29:00
"333",28,30361338,12:44:00
"334",29,30361338,12:59:00
"335",28,30361338,13:14:00
"336",28,30361338,13:29:00
"337",25,30361338,13:44:00
"338",28,30361338,13:59:00
"339",27,30361338,14:14:00
"340",19,30361338,14:29:00
"341",26,30361338,14:44:00
"342",28,30361338,14:59:00
"343",27,30361338,15:14:00
"344",28,30361338,15:29:00
"345",26,30361338,15:44:00
"346",27,30361338,15:59:00
"347",25,30361338,16:14:00
"348",27,30361338,16:29:00
"349",26,30361338,16:44:00
"350",27,30361338,16:59:00
"351",27,30361338,17:14:00
"352",25,30361338,17:29:00
"353",27,30361338,17:44:00
"354",28,30361338,17:59:00
"355",27,30361338,18:14:00
"356",28,30361338,18:29:00
"357",29,30361338,18:44:00
"358",29,30361338,18:59:00
