"","year","lat","long","mass","class"
"1670",2000,18.86492,54.64972,190,"L5"
"1671",2000,18.83062,54.76645,195,"H5"
"1672",2000,18.94362,54.67067,135,"L5"
"1673",2000,18.2776,54.32358,152,"H6"
"1674",2000,18.8323,54.76583,317,"H6"
"1675",2000,18.81928,54.61427,195,"H5/6"
"1676",2000,18.96265,54.75108,250,"L6"
"1677",2000,18.245,54.40912,376,"H5/6"
"1678",2000,18.85012,54.62327,114,"H5"
"1679",2000,19.0855,54.76243,9187,"L6"
"1680",2000,18.8473,54.53538,295,"H5"
"1681",2000,18.69225,54.59118,115,"L6"
"1682",2000,18.90333,54.70452,212,"H5"
"1683",2000,18.86208,54.67937,121,"L5"
"1684",2000,18.84122,54.7564,102,"LL6"
"1685",2000,18.72542,54.73048,156,"Diogenite"
"1686",2000,18.94137,54.69545,126,"L5"
"1687",2000,19.72137,54.67897,1856,"H5/6"
"1688",2000,18.57135,54.71478,1200,"H5"
"1689",2000,18.41212,54.62893,708,"L6"
"1690",2000,18.62047,54.71545,426,"H6"
"1691",2000,18.95472,54.80468,590,"H5"
"1692",2001,19.08235,54.45228,98.45,"H4/5"
"1693",2001,19.06693,54.51932,36.33,"H4/5"
"1694",2001,19.02922,54.54473,382.5,"H4"
"1695",2001,19.02948,54.54437,274.38,"H4"
"1696",2001,19.03792,54.53703,430.54,"L6"
"1697",2001,19.06632,54.52197,20.45,"H6"
"1698",2001,19.06943,54.52135,146.52,"H6"
"1699",2001,19.06843,54.53502,519.02,"H5"
"1700",2001,19.04183,54.55647,151.13,"H6"
"1701",2001,19.05162,54.46338,431.81,"H6"
"1702",2001,19.0487,54.5291,32.18,"L6"
"1703",2001,19.05907,54.53693,246.38,"H4"
"1704",2001,19.0604,54.53672,132.19,"H6"
"1705",2001,19.0605,54.53677,18.43,"H6"
"1706",2001,19.0704,54.53838,56.11,"H4"
"1707",2001,19.06252,54.55048,55.88,"L4"
"1708",2001,19.05568,54.55108,119.15,"H6"
"1709",2001,19.05233,54.54195,199.43,"H6"
"1710",2001,19.0586,54.53503,22.43,"H6"
"1711",2001,19.06155,54.53462,44.4,"H6"
"1712",2001,18.91925,54.26692,237.94,"L6"
"1713",2001,18.56528,54.0807,117.24,"L5"
"1714",2001,18.50428,54.0859,1260,"H5"
"1715",2001,18.17998,54.20367,2.5,"L6"
"1716",2001,18.5645,54.09627,25.42,"L4"
"1717",2001,18.56095,54.09983,82.57,"H4"
"1718",2001,18.5581,54.1039,19.32,"H5"
"1719",2001,18.5624,54.10895,24.87,"L5"
"1720",2001,18.5497,54.12023,75.87,"L5"
"1721",2001,18.9622,54.59012,99.81,"H5"
"1722",2001,18.9622,54.59012,89.45,"H5"
"1723",2001,18.97923,54.62818,23.86,"H5"
"1724",2001,19.01982,54.51398,164.75,"H4"
"1725",2001,19.02542,54.50633,82.43,"H6"
"1726",2001,19.04028,54.49387,72.14,"H4"
"1727",2001,19.04587,54.49452,49.3,"H4"
"1728",2001,19.0456,54.494,133.22,"H4"
"1729",2001,19.04892,54.49267,39.3,"L5"
"1730",2001,19.05025,54.49242,23.33,"H4"
"1731",2001,19.06013,54.53182,12.05,"H6"
"1732",2001,19.06027,54.54348,50.44,"H6"
"1733",2001,19.06045,54.54367,63.98,"H6"
"1734",2001,19.05877,54.54738,134.99,"H6"
"1735",2001,19.05978,54.56268,225.86,"H5"
"1736",2001,19.06003,54.5788,19.68,"H6"
"1737",2001,19.04493,54.47637,15.68,"H5"
"1738",2001,19.04797,54.48912,22.29,"H4"
"1739",2001,19.0504,54.4906,7.84,"H4/5"
"1740",2001,19.05335,54.49323,4.58,"H4/5"
"1741",2001,19.06228,54.49735,4.04,"H4"
"1742",2001,18.64482,54.00393,160.09,"H5"
"1743",2000,18.34867,54.214,995,"Ureilite"
"1744",2000,18.30583,54.14967,900.1,"Ureilite"
"1745",2002,19.32833,54.76333,170,"H6"
"1746",2002,18.52833,54.00333,126,"H5"
"1747",2002,19.34167,54.56,126,"H4"
"1748",2002,18.63,54.05,100,"H6"
"1749",2001,19.18833,54.79833,136.75,"L5"
"1750",2001,19.17667,54.67833,147,"L6"
"1751",2001,18.39167,54.16,182,"L6"
"1752",2001,18.40833,54.13,190,"H4"
"1753",2001,18.34333,54.09333,156,"H6"
"1754",2001,18.46167,54.01,130,"H6"
"1755",2001,18.20167,54.28,162,"L5"
"1756",2001,18.18167,54.09667,146,"L6"
"1757",2002,18.61833,54.155,208,"LL3"
"1758",2001,18.45833,54.57167,62,"H5"
"1759",2001,18.24333,54.135,122,"H4"
"1760",2001,18.98,54.54167,50,"L6"
"1761",2001,18.88,54.61667,142,"L6"
"1762",2001,18.31167,54.145,196,"LL4"
"1763",2001,18.395,54.27,145,"L6"
"1764",2001,18.395,54.13667,126,"H6"
"1765",2001,18.22167,54.1,88,"H3.9"
"1766",2001,19.17833,54.825,93.5,"H5"
"1767",2003,19.3,54.66833,394,"OC"
"1768",2001,19.03167,54.51167,182,"H6"
"1769",2002,19.16,54.58667,50,"H5"
"1770",2002,19.38333,54.59333,102,"L5"
"1771",2002,18.16333,54.16,1233,"L6"
"1772",2003,19.33167,54.78333,245,"Lunar (anorth)"
"1773",2003,19.33015,54.77972,3.9,"Lunar (anorth)"
"1774",2003,18.97833,54.40833,19,"H4"
"1775",2003,18.695,54.25,88,"H4"
"1776",2003,18.91333,54.41667,76,"LL6"
"1777",2003,19.205,54.52667,8,"H5"
"1778",2002,19.09667,54.79167,1350,"H4"
"1779",2003,19.30667,54.55167,12,"LL6"
"1780",2003,19.26,54.48833,134,"LL5-6"
"1781",2003,18.66667,54.16,60,"H5"
"1782",2003,18.91833,54.40833,26,"L6"
"1783",2003,18.625,54.43,144,"L6"
"1784",2003,19.405,54.57,2270,"L6"
"1785",2002,19.335,54.66333,190,"H3.9"
"1786",2002,19.16333,54.66833,185,"L6"
"1787",2003,19.39667,54.56333,49,"Lunar (basalt)"
"1788",2002,19.07333,54.74833,411,"L5"
"1789",2002,19.13667,54.56333,795,"H5"
"1790",2002,19.11333,54.75,178,"L5"
"1791",2002,18.51667,54.22833,602,"L5"
"1792",2003,19.39,54.55833,18,"Eucrite-pmict"
"1793",2002,19.105,54.81833,105,"L6"
"1794",2001,19.16667,54.87167,64,"L4"
"1795",2000,19.28833,54.695,48,"H4"
"1796",2000,18.925,54.59833,68,"H4"
"1797",2002,19.105,54.81167,1500,"H5"
"1798",2000,18.89333,54.73167,62,"H4"
"1799",2002,19.18167,54.57833,67,"L5"
"1800",2002,19.405,54.575,1248,"LL5"
"1801",2002,18.20833,54.12,508,"H5"
"1802",2002,18.58167,54.19667,74,"L6"
"1803",2002,19.16667,54.40333,113,"L5"
"1804",2002,19.05167,54.765,166,"L5"
"1805",2002,19.24333,54.53667,86,"H5"
"1806",2002,19.095,54.73167,74,"H5"
"1807",2002,19.165,54.40333,2412,"LL5"
"1808",2002,18.35333,54.235,170,"L5-6"
"1809",2002,19.39833,54.595,158,"L5"
"1810",2002,19.125,54.67833,38,"H5"
"1811",2003,19.325,54.78167,21.7,"Lunar (anorth)"
"1812",2002,18.63167,54.23167,274,"H6"
"1813",2002,19.065,54.76167,68,"H6"
"1814",2002,19.135,54.565,45,"H4"
"1815",2002,18.535,54.13333,212,"H4"
"1816",2003,19.055,54.75333,16,"CM2"
"1817",2002,19.21667,54.65667,114,"L4"
"1818",2002,19.09167,54.38667,550,"H4"
"1819",2002,19.085,54.77,400,"H5"
"1820",2002,19.38667,54.57667,702,"L6"
